,Index,UID1,Ques1,Ans1,UID2,Ques2,Ans2
625,625,141,Which nucleic acid sequence encodes Hug1p YML058W-A ?,HUG1,23319,Which person was Fausto Zevi a student of ?,Ranuccio Bianchi Bandinelli
626,626,187,What encodes Protein SEC13 homolog ?,SEC13,25510,Who was the teacher of Kumudendu ?,Amoghavarsha
627,627,333,What encodes DNA gyrase subunit A    ECUMN_2568 ?,DNA gyrase subunit A ECUMN_2568,379,Which is the election from where Angela Merkel was elected from ?,2005 German federal election
628,628,459,What encodes Complement C1q tumor necrosis factor-related protein 3 ?,C1QTNF3,555,"Which person was the successful candidate in German presidential election, 2004 ?",Horst Köhler
629,629,503,Which gene encodes pyruvate kinase    PP_4301 ?,pyruvate kinase PP_4301,1300,Which election was Francis a successful candidate from ?,2013 papal conclave
630,630,551,What encodes CDK5 regulatory subunit-associated protein 2 ?,Cdk5rap2,6015,"Who was the elected person from German presidential election, 1999 ?",Johannes Rau
631,631,645,Which gene encodes 2-isopropylmalate synthase    LA_2202 ?,2-isopropylmalate synthase LA_2202,25859,Where was Mariano Rajoy elected successfully from ?,2011 Spanish general election
632,632,660,What is the gene that encodes Coiled-coil and C2 domain-containing protein 2A ?,Cc2d2a,32257,Which election had Conservative Party as its successful candidate ?,2015 South Norfolk District Council election
633,633,997,What encodes peptidyl-dipeptidase A protein    SMc04403 ?,peptidyl-dipeptidase A protein SMc04403,37571,Which general election was Carl Bildt elected from ?,1991 Swedish general election
634,634,1006,What encodes 30S ribosomal protein S11    MSC_0722 ?,30S ribosomal protein S11 MSC_0722,988,Who was Hillary Clinton an influence for ?,Leslie Knope
635,635,1021,What encodes Zinc finger protein 471 ?,ZNF471,1000,Who was the person who influenced Arthur Conan Doyle ?,Robert Louis Stevenson
636,636,1162,Which gene encodes Serine/threonine-protein kinase PAK 1 ?,PAK1,2973,Who was influenced by Art Deco ?,New Objectivity
637,637,1372,What encodes Rhomboid-related protein 1 ?,RHBDL1,8356,Which person influenced Daniel Webster Whittle ?,Dwight Lyman Moody
638,638,1522,What encodes lipopolysaccharide core heptose(I) kinase RfaP    O3K_00690 ?,lipopolysaccharide core heptose(I) kinase RfaP O3K_00690,8714,Who did Shibuya-kei have an influence on ?,neo acoustic
639,639,1617,Which gene encodes hypothetical protein YBR220C ?,YBR220C,13512,Who did Carl Linnaeus influence ?,Clas Alströmer
640,640,1634,Which gene encodes N-acetylmannosamine-6-phosphate 2-epimerase    spr1529 ?,N-acetylmannosamine-6-phosphate 2-epimerase spr1529,27858,Which person acted as an inflence on Olga Tufnell ?,Flinders Petrie
641,641,1757,Which gene encodes ATP-dependent DNA helicase RecQ    PA3344 ?,ATP-dependent DNA helicase RecQ PA3344,28936,Which application influenced Minecraft ?,Dwarf Fortress
642,642,2022,What encodes anthranilate phosphoribosyltransferase    Rru_A1896 ?,anthranilate phosphoribosyltransferase Rru_A1896,48246,Who had an influence on Sergei Sergeyev-Tsensky ?,Leonid Andreyev
643,643,2433,Which gene encodes succinylglutamate desuccinylase    Psyr_3559 ?,succinylglutamate desuccinylase Psyr_3559,52112,Which zoological nomenclature influenced Clas Alströmer ?,Carl Linnaeus
644,644,3340,Which gene encodes TetR family transcriptional regulator    VCA0767 ?,TetR family transcriptional regulator VCA0767,3920,What was inspired by France ?,Aquilonia
645,645,3467,What encodes D(2) dopamine receptor ?,DRD2,4131,What was the source of inspiration for I Hired a Contract Killer ?,Tribulations of a Chinaman in China
646,646,3629,"What encodes Carnitine O-palmitoyltransferase 1, liver isoform ?",Cpt1a,4379,Who had Belgium as a source of inspiration ?,Belíndia
647,647,3786,Which gene encodes transcriptional regulator    LA_1738 ?,transcriptional regulator LA_1738,6298,What was Gertrude Abercrombie inspired by ?,René Magritte
648,648,3969,What encodes Testicular spindle-associated protein SHCBP1L ?,SHCBP1L,6999,Which fictional location did France inspire ?,Aquilonia
649,649,4733,Which gene encodes 50S ribosomal protein L1    Mfl608 ?,50S ribosomal protein L1 Mfl608,24980,"What inspired Liberté, j'écris ton nom ?",liberty
650,650,4816,What encodes toxic peptide TisB    O3K_00160 ?,toxic peptide TisB O3K_00160,254,Which taxon is endemic to India ?,Appias lalage
651,651,4966,Which gene encodes Apoptosis-inducing factor 2 ?,AIFM2,2467,Which taxon is native to Japan ?,Hakuba salamander
652,652,5055,What encodes glutathione-regulated potassium-efflux system protein KefC    VF_A0260 ?,glutathione-regulated potassium-efflux system protein KefC VF_A0260,27707,Which taxon belongs to United States of America ?,Northern dwarf siren
653,653,5360,Which nutrient does ISG15 encode ?,ISG15 ubiquitin like modifier,31690,Which landform is Chthonius minotaurus native to ?,Crete
654,654,5673,Which gene encodes putative isoamylase    HMPREF0421_20568 ?,putative isoamylase HMPREF0421_20568,53469,Which administrative territory is Paramorariopsis anae endemic to ?,Slovenia
655,655,6762,Which gene encodes uroporphyrinogen III synthase/methyltransferase    CLC_0976 ?,uroporphyrinogen III synthase/methyltransferase CLC_0976,148,Which nonprofit organization owns Penn Presbyterian Medical Center?,University of Pennsylvania
656,656,6978,What encodes Centrosomal protein of 97 kDa ?,CEP97,1818,Which organization owns Ostankino meat processing plang ?,Ostankino
657,657,7073,What encodes Interleukin-36 receptor antagonist protein ?,Il1f5,4780,What is the parent organization of University of Milan ?,League of European Research Universities
658,658,7159,What encodes formamidopyrimidine-DNA glycosylase    AHA_0164 ?,formamidopyrimidine-DNA glycosylase AHA_0164,7382,Which organization is owned by Entertainment One ?,Entertainment One Films
659,659,7278,Which gene encodes dihydrofolate reductase    CBU_1993 ?,dihydrofolate reductase CBU_1993,8016,Which transport company has Netherlands as parent organization ?,Nederlandse Spoorwegen
660,660,7555,Which gene encodes Double-strand break repair protein MRE11A ?,MRE11,26526,Which profession is Strategy First a parent organization of ?,Malfador Machinations
661,661,7613,Which gene encodes Olfactory receptor 6K6 ?,OR6K6,61141,Which authority organ has United States Congress as its parent organization ?,United States Government Publishing Office
662,662,7737,Which gene encodes 1-acylglycerol-3-phosphate O-acyltransferase    SMU_624 ?,1-acylglycerol-3-phosphate O-acyltransferase SMU_624,2105,Which Magnetic confinement fusion was sponsored by United States of America ?,ITER
663,663,8012,Which gene encodes Nuclear pore complex protein Nup133 ?,Nup133,2550,Who did People's Republic of China sponsor ?,ITER
664,664,8137,Which gene encodes biopolymer transport ExbD protein    glr2403 ?,biopolymer transport ExbD protein glr2403,4350,Who backs Neurobehavioral Assessment of Occupationally Relevant Solvents and Chemicals in Humans ?,National Institute for Occupational Safety and Health
665,665,8207,Which gene encodes 1-(5-phosphoribosyl)-5-((5-phosphoribosylamino)methylideneamino) imidazole-4-carboxamide isomerase    RSP_2243 ?,1-(5-phosphoribosyl)-5-((5-phosphoribosylamino)methylideneamino) imidazole-4-carboxamide isomerase RSP_2243,5908,Who funds Cavling Prize ?,Berlingske
666,666,8247,Which gene encodes Trimeric intracellular cation channel type A ?,TMEM38A,6954,"Who is the sponsor for HHE determination report no. HHE-77-34-471, Midwest Steel Division, National Steel Corporation, Portage, Indiana ?",National Institute for Occupational Safety and Health
667,667,8267,Which gene encodes hypothetical protein    Caur_1843 ?,hypothetical protein Caur_1843,9600,"Which authority organ is the sponsor of HETA Report No. MTA-78-101-109, Accidental Oil Shale, Incorporated, Logan Wash, Colorado ?",National Institute for Occupational Safety and Health
668,668,8303,Which gene encodes oligoendopeptidase F    DR_2055 ?,oligoendopeptidase F DR_2055,10451,Who is the funder of 2014 FIFA World Cup ?,Adidas
669,669,8434,Which gene encodes alanyl-tRNA synthetase    DVU1089 ?,alanyl-tRNA synthetase DVU1089,30984,Which building was funded by Seva Foundation ?,Aravind Eye Hospital
670,670,8537,Which gene encodes Coiled-coil domain-containing protein 85C ?,Ccdc85c,32006,Which device had funding from Siemens ?,Spaceship Earth
671,671,8787,What encodes sensor histidine kinase    SSUBM407_1000 ?,sensor histidine kinase SSUBM407_1000,756,Which industry does The Walt Disney Company belong to ?,mass media
672,672,9409,Which gene encodes phosphoserine aminotransferase    SSUBM407_1203 ?,phosphoserine aminotransferase SSUBM407_1203,1148,Who belongs to the industry aircraft ?,Fluid Mechanics Institute - Institut de mécanique des fluides de Lille (ONERA Lille)
673,673,9744,What encodes hypothetical protein    TDE2761 ?,hypothetical protein TDE2761,4567,What is the industry Nintendo belongs to ?,video games
674,674,10332,What encodes ribosomal protein S6 modification protein    AHA_0433 ?,ribosomal protein S6 modification protein AHA_0433,5075,Which economic branch is the industry to which Sensible Software belongs ?,video games
675,675,10621,Which gene encodes HemK protein    BU172 ?,HemK protein BU172,6519,What industry is Shanda a part of ?,video games
676,676,10736,"What encodes Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1 ?",ASAP1,22504,Who is part of the architect industry ?,Arquitectonica
677,677,10787,Which gene encodes pantothenate kinase    CT1408 ?,pantothenate kinase CT1408,1289,Which architectural structure has Victor Emmanuel II of Savoy as its commisioner ?,Torre di San Martino della Battaglia
678,678,11090,Which nutrient is encoded by hypoxanthine-guanine phosphoribosyltransferase    BT_4386 ?,Hypoxanthine-guanine phosphoribosyltransferase BT_4386,2419,Which work of art was approved by France ?,The Kiss
679,679,11133,Which gene encodes IQ calmodulin-binding motif-containing protein 1 ?,IQCB1,7181,Which media was commissioned by France ?,Chanteur florentin du XVe siècle
680,680,11264,What encodes transcription-repair coupling factor    CT0653 ?,transcription-repair coupling factor CT0653,10306,Who was the person who commissioned Neptune Fountain ?,Louis XIV of France
681,681,11369,"Which gene encodes Acetylgalactosaminyl-O-glycosyl-glycoprotein beta-1,3-N-acetylglucosaminyltransferase ?",B3GNT6,11545,What did Humboldt University of Berlin commission ?,Mathematische Nachrichten
682,682,11422,What encodes WD repeat domain phosphoinositide-interacting protein 2 ?,Wipi2,11871,What was commisioned by Germany ?,Fußgängerüberführung Wielstraße
683,683,12036,Which gene encodes PTS system glucose-specific transporter subunit IIABC    SSUBM407_0346 ?,PTS system glucose-specific transporter subunit IIABC SSUBM407_0346,27291,Who did the commissioning of Berlin Wall ?,German Democratic Republic
684,684,12224,Which gene encodes Baculoviral IAP repeat-containing protein 1 ?,NAIP,28797,Which person commissioned Wikipedia Monument ?,Krzysztof Wojciechowski
685,685,12423,Which gene encodes NADH dehydrogenase (ubiquinone) chain F    LA_0890 ?,NADH dehydrogenase (ubiquinone) chain F LA_0890,110,What can afflict Homo sapiens ?,Aicardi syndrome
686,686,12439,What encodes tRNA-specific 2-thiouridylase MnmA    EF2070 ?,tRNA-specific 2-thiouridylase MnmA EF2070,166,What is the health problem that afflicts Homo sapiens ?,Aicardi syndrome
687,687,12895,What encodes ATP-dependent RNA helicase    lpg2345 ?,ATP-dependent RNA helicase lpg2345,313,Which health problem afflicts Homo sapiens ?,Aicardi syndrome
688,688,12945,Which gene encodes peptidyl-prolyl cis-trans isomerase    CT_541 ?,peptidyl-prolyl cis-trans isomerase CT_541,10788,What does disease of metabolism afflict ?,metabolism
689,689,13045,What encodes ABC transporter ATP-binding protein/permease    SSA_1109 ?,ABC transporter ATP-binding protein/permease SSA_1109,16522,Which taxon afflicts cat ?,Dirofilaria repens
690,690,13101,Which gene encodes pyridine nucleotide transhydrogenase subunit beta    NGR_b14790 ?,pyridine nucleotide transhydrogenase subunit beta NGR_b14790,49137,Which disease afflicts dog ?,diabetes in dogs
691,691,13254,Which gene encodes FKBP-type peptidylprolyl isomerase    BT_2976 ?,FKBP-type peptidylprolyl isomerase BT_2976,50975,Which blood vessel is afflicted by coronary artery disease ?,coronary artery
692,692,13269,Which gene encodes sodium/panthothenate symporter    O3K_02675 ?,sodium/panthothenate symporter O3K_02675,4744,Which drug is prescribed for stroke ?,pentoxifylline
693,693,13492,Which gene encodes flagellar basal body P-ring protein    NRG857_05210 ?,flagellar basal body P-ring protein NRG857_05210,8648,Which disease is chlorpromazine a medication for ?,schizophrenia
694,694,13724,Which gene encodes Voltage-dependent calcium channel gamma-8 subunit ?,CACNG8,28560,Which drug is used for treatment of celiac disease ?,simvastatin
695,695,13994,What encodes ATP synthase subunit C    MSC_0890 ?,ATP synthase subunit C MSC_0890,32176,Which disease is treated with chlorpromazine ?,schizophrenia
696,696,14148,Which gene encodes SLIT-ROBO Rho GTPase-activating protein 1 ?,Srgap1,41859,Which disease requires chlorpromazine to be prescribed ?,schizophrenia
697,697,14181,Which gene encodes Na(+)/H(+) antiporter    TTHA1472 ?,Na(+)/H(+) antiporter TTHA1472,48649,What is cured by dopamine ?,neurogenic shock
698,698,14183,Which gene encodes Apoptosis regulator Bcl-2 ?,BCL2,960,Which ideology does Party of the Democratic Left believe in ?,social democracy
699,699,14613,What encodes prolyl-tRNA synthetase    SAG1913 ?,prolyl-tRNA synthetase SAG1913,7818,Which special field is the political ideology of National Liberal Party ?,liberalism
700,700,14808,Which gene encodes catalase    YE1380 ?,catalase YE1380,12505,Which periodical literature has Liberal Party as its political ideology ?,Diario de Alicante
701,701,14875,Which nutrient does ABC transporter ATP-binding protein    SSUBM407_0869 encode ?,ABC transporter ATP-binding protein SSUBM407_0869,1827,Which application as distributed via Japan ?,Ys Origin
702,702,14940,What encodes site-specific tyrosine recombinase XerS    SMU_1034c ?,site-specific tyrosine recombinase XerS SMU_1034c,2325,Which is the high density storage media that was used as the method of distribution of F1 2010 ?,Blu-ray Disc
